,Date,Open,High,Low,Close,Volume
266,2020-01-23,37.616669,38.799999,37.040001,38.146667,294765000
267,2020-01-24,38.042,38.257332,36.950668,37.654667,215304000
268,2020-01-27,36.132668,37.629333,35.952,37.201332,204121500
269,2020-01-28,37.899334,38.453999,37.205334,37.793331,176827500
270,2020-01-29,38.379333,39.32,37.828667,38.732666,267022500
272,2020-01-31,42.666668,43.533333,42.167999,43.371334,235789500
277,2020-02-07,48.703335,51.316666,48.666668,49.871334,255952500
279,2020-02-11,51.252666,52.234001,50.533333,51.625332,175462500
280,2020-02-12,51.858002,52.650002,50.891335,51.152668,180337500
282,2020-02-14,52.481335,54.198002,52.366669,53.335335,235405500
283,2020-02-18,56.106667,57.333332,55.490665,57.226665,245725500
285,2020-02-20,60.796665,60.799999,57.329334,59.960667,264523500
286,2020-02-21,60.465332,60.870667,58.696667,60.066666,214722000
287,2020-02-24,55.933334,57.566666,54.813332,55.585999,227883000
288,2020-02-25,56.599998,57.106667,52.466667,53.327332,259357500
289,2020-02-26,52.166668,54.220669,51.740665,51.919998,211282500
292,2020-03-02,47.417332,49.579334,45.778,49.574669,302925000
294,2020-03-04,50.930668,51.101334,48.315334,49.966667,225735000
295,2020-03-05,48.251331,49.716667,47.871334,48.302666,162790500
296,2020-03-06,46.0,47.133331,45.618,46.898666,189943500
297,2020-03-09,40.359333,44.200001,40.333332,40.533333,256105500
298,2020-03-10,43.962002,44.533333,40.533333,43.021999,233916000
299,2020-03-11,42.68,43.571999,40.866669,42.282001,199837500
300,2020-03-12,38.726002,39.633331,36.416668,37.369999,283636500
301,2020-03-13,39.666668,40.504665,33.466667,36.441334,339604500
302,2020-03-16,31.299999,32.991333,29.478001,29.671333,307342500
307,2020-03-23,28.906668,29.466667,27.366667,28.952667,246817500
308,2020-03-24,31.82,34.245998,31.6,33.666668,343428000
309,2020-03-25,36.349998,37.133331,34.074001,35.950001,318340500
310,2020-03-26,36.492668,37.333332,34.150002,35.210667,260710500
311,2020-03-27,33.666668,35.053333,32.935333,34.290668,215661000
312,2020-03-30,34.017334,34.443333,32.748669,33.475334,179971500
313,2020-03-31,33.416668,36.197334,33.133331,34.933334,266572500
314,2020-04-01,33.599998,34.263332,31.673332,32.104,200298000
315,2020-04-02,32.068668,32.950668,29.76,30.298,297876000
316,2020-04-03,33.966667,34.366001,31.226,32.000668,338431500
317,2020-04-06,34.080002,34.733334,33.197334,34.416,223527000
318,2020-04-07,36.333332,37.666668,35.489334,36.363335,268797000
319,2020-04-08,36.946667,37.147331,35.555332,36.589333,189840000
320,2020-04-09,37.472668,38.345333,37.140667,38.200001,204750000
321,2020-04-13,39.344002,43.466667,38.702,43.396667,337131000
323,2020-04-15,49.466667,50.208668,47.333332,48.655334,353655000
324,2020-04-16,47.796001,50.630001,47.114666,49.680668,309868500
325,2020-04-17,51.485332,51.663334,49.844002,50.259335,196923000
326,2020-04-20,48.846668,51.037998,47.480667,49.757332,221199000
327,2020-04-21,48.674667,50.222,44.919334,45.781334,303136500
328,2020-04-22,46.931999,48.933334,45.914001,48.807335,212482500
329,2020-04-23,48.506668,48.933334,46.875332,47.042,198550500
330,2020-04-24,47.387333,48.715332,46.545334,48.343334,198180000
331,2020-04-27,49.174,53.299332,49.0,53.25,310221000
332,2020-04-28,53.042667,53.666668,50.445999,51.274666,228330000
333,2020-04-29,52.678001,53.546665,52.210667,53.367332,243240000
336,2020-05-04,46.733334,50.799999,46.533333,50.745998,288556500
337,2020-05-05,52.652668,53.261333,50.812,51.214001,254875500
338,2020-05-06,51.766666,52.653332,50.740665,52.172001,166848000
339,2020-05-07,51.813999,53.093334,51.490002,52.002666,172915500
340,2020-05-08,52.917999,54.933334,52.467335,54.627998,241297500
341,2020-05-11,52.700668,54.933334,52.333332,54.085999,247794000
342,2020-05-12,55.133331,56.219334,53.866669,53.960667,238603500
343,2020-05-13,54.722,55.066666,50.886665,52.730667,285982500
344,2020-05-14,52.0,53.557335,50.933334,53.555332,205233000
345,2020-05-15,52.689999,53.669998,52.436668,53.278,157776000
346,2020-05-18,55.185333,55.647999,53.591999,54.242001,174987000
347,2020-05-19,54.344666,54.804668,53.738667,53.867332,144547500
348,2020-05-20,54.700001,55.066666,54.119999,54.370667,109639500
349,2020-05-21,54.400002,55.5,53.066666,55.173332,183819000
350,2020-05-22,54.811333,55.452,54.133331,54.458668,149812500
351,2020-05-26,55.633331,55.639999,54.380669,54.591331,121345500
352,2020-05-27,54.723999,55.180668,52.333332,54.681999,173242500
353,2020-05-28,54.234001,54.983334,53.445999,53.720669,108834000
354,2020-05-29,53.916668,55.666668,53.613998,55.666668,176467500
355,2020-06-01,57.200001,59.933334,56.939999,59.873333,224092500
356,2020-06-02,59.646667,60.577332,58.066666,58.770668,203484000
357,2020-06-03,59.208,59.862667,58.673332,58.863998,119242500
358,2020-06-04,59.325333,59.716667,57.229332,57.625332,133315500
359,2020-06-05,58.522667,59.101334,57.746666,59.043999,117178500
360,2020-06-08,61.266666,63.333332,60.610668,63.327999,212620500
361,2020-06-09,62.667332,63.629333,61.595333,62.711334,170823000
362,2020-06-10,66.125336,68.498665,65.5,68.33667,278451000
363,2020-06-11,66.013336,67.930664,64.800003,64.856003,238747500
364,2020-06-12,65.333336,65.865334,60.84,62.352001,251451000
365,2020-06-15,61.186001,66.589333,60.566666,66.059998,235458000
366,2020-06-16,67.456665,67.52533,64.159332,65.475334,210766500
367,2020-06-17,65.847336,67.0,65.504669,66.119331,148362000
368,2020-06-18,66.866669,67.946671,66.297997,66.930664,146278500
369,2020-06-19,67.518669,67.731331,66.089333,66.726669,130195500
370,2020-06-22,66.66333,67.258667,66.001335,66.288002,95436000
371,2020-06-23,66.592003,67.466667,66.267334,66.785332,95479500
372,2020-06-24,66.274002,66.725334,63.542667,64.056664,164394000
373,2020-06-25,63.618,65.732002,62.476665,65.732002,138817500
374,2020-06-26,66.318665,66.333336,63.658001,63.982666,132823500
375,2020-06-29,64.60067,67.333336,63.234669,67.290001,135396000
376,2020-06-30,67.099998,72.512665,66.915337,71.987335,253777500
377,2020-07-01,72.199997,75.688667,72.033333,74.641998,199903500
378,2020-07-02,81.431999,81.866669,79.040001,80.577332,258751500
379,2020-07-06,85.112663,91.852669,84.402664,91.438667,308548500
380,2020-07-07,93.667336,95.300003,89.113998,92.657333,322345500
381,2020-07-08,93.666664,94.484001,87.422668,91.05867,244669500
382,2020-07-09,93.132668,93.903999,90.085335,92.952003,175764000
383,2020-07-10,93.066666,103.26133,91.734001,102.976669,350064000
385,2020-07-14,103.73333,106.0,95.400002,101.120003,351271500
386,2020-07-15,102.866669,103.333336,97.133331,103.067329,245517000
387,2020-07-16,98.477333,102.113998,97.73333,100.042664,214512000
